#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x



#	Overrides must be loaded first



####################################################################
#
#	College of Cardinals overrides for non-Catholic religions
#
####################################################################

COLLEGE_OF_CARDINALS;Sacred College of Cardinals;Sacré Collège cardinalice;Heiliges Kardinalskollegium;;Sacro Colegio de Cardenalicio;;;;;;;;;x # Older, slightly fancier name, refuses to work with dynamic localisation
TITLE_GAINED_RELIGIOUS_PLAYER_LETTER;Your vassal $NEWHOLDER$ was given a seat in the [Root.GetCollegeName].;Votre vassal, le $NEWHOLDER$, a reçu un siège au [Root.GetCollegeName].;Eurem Vasallen $NEWHOLDER$ wurde ein Sitz im [Root.GetCollegeName] zuerkannt.;;Vuestro vasallo $NEWHOLDER$ ha obtenido un asiento en el [Root.GetCollegeName].;;;;;;;;;x
TITLE_GAINED_RELIGIOUS_PLAYER_LOG;Your vassal $NEWHOLDER$ was given a seat in the [Root.GetCollegeName].;Votre vassal, le $NEWHOLDER$, a reçu un siège au [Root.GetCollegeName].;Eurem Vasallen $NEWHOLDER$ wurde ein Sitz im [Root.GetCollegeName] zuerkannt.;;Vuestro vasallo $NEWHOLDER$ ha obtenido un asiento en el Colegio [Root.GetCollegeName].;;;;;;;;;x

# Big, hardcoded mess. Where are these even used?
HINT_CARDINAL_VIEW_TITLE;The [GetCollegeElectorTitle] View;La vue des cardinaux;[GetCollegeElectorTitle]s-Übersicht;;La perspectiva del [GetCollegeElectorTitle];;;;;;;;;x
HINT_CARDINAL_VIEW_TEXT_1;In this screen you can see the [Root.GetCollegeName].These are the ones responsible for electing a new [Root.GetElectedReligiousHead] among themselves when the old one dies. It also shows who is likely to be given title of [GetCollegeElectorTitle] if a spot opens up.;Cette vue vous montre le [Root.GetCollegeName]. C'est lui qui est responsable d'élire un nouveau [Root.GetElectedReligiousHead] parmi ses membres lorsque le [Root.GetElectedReligiousHead] actuel meurt. Cette vue montre également qui a les meilleures chances de devenir [GetCollegeElectorTitle] si une place se libère.;In dieser Übersicht seht Ihr das [Root.GetCollegeName]. Sie sind für die Wahl des neuen [Root.GetElectedReligiousHead]es verantwortlich. Angezeigt wird auch, wer wahrscheinlich zum [GetCollegeElectorTitle] ernannt werden wird, wenn eine Position frei wird.;;En esta pantalla podéis ver el [Root.GetCollegeName]. Son los únicos responsables de la elección entre sus miembros de un nuevo [Root.GetElectedReligiousHead] cuando el antiguo muere. También muestra quién tiene probabilidad de recibir un título de [GetCollegeElectorTitle] si hay una vacante.;;;;;;;;;x
HINT_CARDINAL_VIEW_TEXT_2;Every [Root.Religion.GetPriestTitle] in the world can be given a seat in the [Root.GetCollegeName]. Every [Root.Religion.GetPriestTitle] have a score which the [Root.GetElectedReligiousHead] uses to decide who gets the open spot. This score is calculated from a wide range of factors but you can also directly influence it by promising money to the [Root.GetElectedReligiousHead]. This will make it much more likely that he will choose a [Root.Religion.GetPriestTitle] from your realm.;Tout [Root.Religion.GetPriestTitle] du monde peut recevoir un siège au [Root.GetCollegeName]. Tout [Root.Religion.GetPriestTitle] possède un score que le [Root.GetElectedReligiousHead] utilise pour choisir qui obtiendra ce siège. Un grand nombre de facteurs entre en compte dans le calcul de ce score, et vous pouvez également l'influencer directement en promettant de l'argent au [Root.GetElectedReligiousHead]. Cette action rendra beaucoup plus probable la nomination d'un [Root.Religion.GetPriestTitle] de votre pays.;Jeder katholische [Root.Religion.GetPriestTitle] kann einen Sitz im [Root.GetCollegeName] erhalten. Jeder [Root.Religion.GetPriestTitle] hat eine Wertung, wobei der [Root.GetElectedReligiousHead] letztlich die Entscheidung trifft. Die Wertung errechnet sich aus einer Reihe von Faktoren, aber Ihr könnt Einfluss nehmen, indem Ihr dem [Root.GetElectedReligiousHead] eine Geldspende in Aussicht stellt. Dadurch wird die Wahrscheinlichkeit, dass ein [Root.Religion.GetPriestTitle] Eures Reiches gewählt wird, enorm gesteigert.;;Cualquier [Root.Religion.GetPriestTitle] del mundo puede recibir un asiento en el [Root.GetCollegeName]. Todos los [Root.Religion.GetPriestTitle]s tienen una puntuación que le sirve al [Root.GetElectedReligiousHead] para decidir quién ocupa la vacante. La puntuación se basa en una amplia gama de factores, pero se puede influir directamente sobre ella prometiendo dinero al [Root.GetElectedReligiousHead]. De este modo es mucho más probable que escoja a un [Root.Religion.GetPriestTitle] de vuestro reino.;;;;;;;;;x
HINT_CARDINAL_VIEW_TEXT_3;Each [GetCollegeElectorTitle] has a single vote he can cast for who he wants to become the next [GetCollegeElectorTitle]. The one with the most support is known as the [Root.GetCollegeSuccessorTitle] and is most likely to become the new [Root.GetElectedReligiousHead].;Chaque [GetCollegeElectorTitle] possède une voix qu'il peut utiliser pour élire celui qu'il souhaite voir comme [GetCollegeElectorTitle]. Celui qui bénéficie du plus grand soutien est désigné sous le nom de [Root.GetCollegeSuccessorTitle], et c'est lui qui est le plus susceptible de devenir le prochain [Root.GetElectedReligiousHead].;Jeder [GetCollegeElectorTitle] hat eine Stimme, die er seinem bevorzugten Kandidaten für das Amt des [Root.GetElectedReligiousHead]es geben kann. Derjenige mit den meisten Stimmen wird [Root.GetCollegeSuccessorTitle] genannt und hat die besten Aussichten, zum neuen [Root.GetElectedReligiousHead] ernannt zu werden.;;Cada [GetCollegeElectorTitle] cuenta con un único voto que otorgará al que desea que sea el próximo [GetCollegeElectorTitle]. El que recibe más apoyo, conocido como el [Root.GetCollegeSuccessorTitle], es el que más probabilidades tiene de convertirse en el nuevo [Root.GetElectedReligiousHead].;;;;;;;;;x
AIREASON_TARGET_MORE_POWERFUL_COLLEGE;Target controls more [GetCollegeElectorTitle]s than you.;La cible contrôle davantage de cardinaux que vous.;Das Ziel kontrolliert mehr Kardinäle als Ihr.;;El objetivo controla a más [GetCollegeElectorTitle]es que vos.;;;;;;;;;x


# Traits

light_foot_leader_desc;This character has proven to be a capable commander when leading light infantry into battle.\nCombat Affinity: §YLight Foot Troops§!;Ce personnage a maintes fois prouvé son efficacité en menant son bataillon d'infanterie légère au combat.\nAffinité de combat: §YInfanterie légère§!;Dieser Charakter hat sich als fähiger Kommandant ausgezeichnet, wenn er die leichte Infanterie in den Kampf führt.\nKampfaffinität: §YLeichte Infanterie§!;;Este personaje ha demostrado ser un buen comandante para guiar a la infantería ligera durante la batalla.\nAfinidad de combate: §YInfantería ligera§!;;;;;;;;;x

heavy_infantry_leader_desc;This character is skilled at leading heavily armored infantry into battle.\nCombat Affinity: §YHeavy Foot Troops§!;Ce personnage se montre très efficace quand il s'agit de mener un bataillon d'infanterie lourde au combat.\nAffinité de combat: §YInfanterie lourde§!;Dieser Charakter führt die schwerbewaffnete Infanterie geschickt in den Kampf.\nKampfaffinität: §YSchwere Infanterie§!;;Este personaje es hábil para dirigir a la infantería pesada en la batalla.\nAfinidad de combate: §YInfantería pesada§!;;;;;;;;;x

cavalry_leader_desc;This character excels at leading men to war on horseback.\nCombat Affinity: §YMounted Troops§!;Ce personnage excelle dans le commandement de son bataillon de cavalerie.\nAffinité de combat: §YCavalerie§!;Dieser Charakter zeichnet sich darin aus, Männer auf dem Pferderücken in den Krieg zu führen.\nKampfaffinität: §YKavallerie§!;;Este personaje es un experto dirigente en batallas a caballo.\nAfinidad de combate: §YCaballería§!;;;;;;;;;x

war_elephant_leader_desc;This character has mastered the tactical use of war elephants in battle.\nCombat Affinity: §YElephant Troops§!;Ce personnage maîtrise l'utilisation tactique des éléphants de guerre au combat.\nAffinité de combat: §YTroupes d'éléphants§!;Dieser Charakter hat den taktischen Nutzen von Kriegselefanten im Kampf gemeistert.\nKampfaffinität: §YElefantentruppen§!;;Este personaje ha dominado el uso táctico de los elefantes de guerra en combate.\nAfinidad de combate: §YTropas de elefante§!;;;;;;;;;x

defensive_leader_desc;This character has a reputation as a stalwart defender, standing like a stone wall alongside the men no matter what force hurls itself against them.\nCombat Affinity: §YDefensive Tactics§!;Ce personnage a la réputation d'être un robuste défenseur, solide comme un roc aux côtés de ses hommes, et ce, quelle que soit la puissance des ennemis.\nAffinité de combat: §YTactiques défensives§!;Dieser Charakter hat einen guten Ruf als standhafter Verteidiger, der Seite an Seite wie eine Steinmauer mit den Männern steht, egal welche Kraft sich ihnen entgegenstellt.\nKampfaffinität: §YDefensive Tactik§!;;Este personaje tiene una reputación como inquebrantable defensor permanece en pie junto a sus hombres sin importar qué les acometa.\nAfinidad de combate: §YTácticas defensivas§!;;;;;;;;;x

flanker_desc;This character fights best when positioned on the flank of an army, striking deeply at the chinks in the enemy's armor.\nCombat Affinity: §YSide Flanks§!;Ce personnage dévoile tous ses talents de combattant quand il est positionné sur le flanc du bataillon, où il repère et s'immisce dans les failles de l'adversaire.\nAffinité de combat: §YFlancs latéraux§!;Dieser Charakter kämpft am besten, wenn er auf der Flanke einer Armee positioniert ist und tief in den schwachen Punkt der feindlichen Rüstung stößt.\nKampfaffinität: §YSeitenflanken§!;;Este personaje lucha mejor si se posiciona en el flanco de un ejército, golpeando profundamente en los puntos flacos de la armadura del enemigo.\nAfinidad de combate: §YFlancos laterales§!;;;;;;;;;x

aggressive_leader_desc;This character does not shy away from battle, and will show no mercy to opponents who attempt to quit the field.\nCombat Affinity: §YAggressive Tactics§!;Ce personnage n'est pas du genre craintif et se montre sans pitié envers les ennemis qui tentent de fuir la bataille.\nAffinité de combat: §YTactiques agressives§!;Dieser Charakter weicht nicht vom Kampf zurück und wird den Gegnern, die das Feld zu räumen versuchen, keine Gnade zeigen.\nKampfaffinität: §YAggressive Taktik§!;;Este personaje no rehúye el combate y no mostrará piedad con los oponentes que intenten abandonar el campo de batalla.\nAfinidad de combate: §YTácticas agresivas§!;;;;;;;;;x

flat_terrain_leader_desc;This character is an expert at leading troops on flat terrain.\nCombat Affinity: §YFarmlands§!, §YPlains§!, §YSteppe§!;Ce personnage excelle dans l'art de mener les troupes sur un terrain plat.\nAffinité de combat: §YTerres arables§!, §YPlaines§!, §YSteppe§!;Dieser Charakter ist ein Experte darin, Truppen in flachem Terrain zu führen.\nKampfaffinität: §YAckerland§!, §YEbenen§!, §YSteppe§!;;Este personaje es experto en conducir tropas en terrenos llanos.\nAfinidad de combate: §YTierras de cultivo§!, §YLlanura§!, §YEstepa§!;;;;;;;;;x

rough_terrain_leader_desc;This character is an expert at leading troops in rough terrain.\nCombat Affinity: §YForests§!, §YMarshes§!;Ce personnage excelle dans l'art de mener les troupes sur un terrain escarpé.\nAffinité de combat: §YForêts§!, §YMarais§!;Dieser Charakter ist ein Experte darin, Truppen in unwegsamem Terrain zu führen.\nKampfaffinität: §YWälder§!, §YSümpfe§!;;Este personaje es experto en conducir tropas en terrenos accidentados.\nAfinidad de combate: §YBosques§!, §YMarismas§!;;;;;;;;;x

mountain_terrain_leader_desc;This character is an expert at leading troops in mountainous terrain.\nCombat Affinity: §YHills§!, §YMountains§!;Ce personnage excelle dans l'art de mener les troupes sur un terrain montagneux.\nAffinité de combat: §YCollines§!, §YMontagnes§!;Dieser Charakter ist ein Experte darin, Truppen in bergigem Terrain zu führen.\nKampfaffinität: §YHügel§!, §YBerge§!;;Este personaje es experto en conducir tropas en terrenos montañosos.\nAffinité de combat: §YColinas§!, §YMontañas§!;;;;;;;;;x

desert_terrain_leader_desc;This character is an expert at leading troops in deserts.\nCombat Affinity: §YDesert§!;Ce personnage excelle dans l'art de mener les troupes dans les déserts.\nAffinité de combat: §YDésert§!;Dieser Charakter ist ein Experte darin, Truppen in Wüsten zu führen.\nKampfaffinität: §YWüste§!;;Este personaje es experto en conducir tropas en el desierto.\nAfinidad de combate: §YDesierto§!;;;;;;;;;x

jungle_terrain_leader_desc;This character is an expert at leading troops in the jungle.\nCombat Affinity: §YJungle§!;Ce personnage maîtrise l'art de mener les troupes dans la jungle.\nAffinité de combat: §YJungle§!;Dieser Charakter ist ein Experte im Führen von Truppen im Dschungel.\nKampfaffinität: §YDschungel§!;;Este personaje es experto guiando tropas en la jungla.\nAfinidad de combate: §YJungla§!;;;;;;;;;x

inspiring_leader_desc;This character has a way of reaching directly into the hearts and minds of the soldiers on the battlefield, and not just with a sword.;Ce personnage sait trouver les mots pour motiver le coeur et l'esprit de ses hommes sur le champ de bataille. Il n'a même pas besoin de les menacer pour les faire avancer !;Dieser Charakter hat eine besondere Art, das Herz und die Seele der Soldaten auf dem Schlachtfeld zu berühren, und das nicht nur mit einem Schwert.;;Este personaje es capaz de llegar a los corazones y las mentes de los soldados en el campo de batalla, no sólo con la espada.;;;;;;;;;x

trickster_desc;This character is known to be an unpredictable element on the battlefield. The enemy won't see it coming, and neither will you!\nCombat Affinity: §YUnpredictable§!;Ce personnage est réputé pour être un élément imprévisible du champ de bataille. L'ennemi ne le voit jamais arriver, et vous non plus d'ailleurs!\nAffinité de combat: §YImprévisible§!;Dieser Charakter ist dafür bekannt, dass er ein unvorhersehbares Element auf dem Schlachtfeld ist. Der Feind wird seine Befehle nicht kommen sehen und Ihr auch nicht!\nKampfaffinität: §YUnberechenbar§!;;Este personaje es conocido por ser un elemento impredecible en el campo de batalla. ¡El enemigo no lo verá venir, pero tú tampoco!\nAfinidad de combate: §YImpredecible§!;;;;;;;;;x

organizer_desc;This character is a skillful organizer in matters of logistics and in overcoming the challenges of moving a large body of men from one point to another.;Ce personnage est un organisateur de talent en ce qui concerne la logistique et les déplacements de grands groupes d'hommes d'un point à un autre.;Dieser Charakter ist ein geschickter Organisator in logistischen Angelegenheiten sowie im Überwinden von Herausforderungen, beim Bewegen großer Gruppen von einem Ort zum anderen.;;Este personaje es un hábil organizador en temas de logística y es capaz de superar el reto de desplazar grandes cantidades de hombres de un punto a otro.;;;;;;;;;x

holy_warrior_desc;This character fights best against heathens and infidels, but hesitates in battle against those of the same faith.\nCombat Affinity: §YReligious Enemies§!;Ce personnage déploie toutes ses forces contre les hérétiques et les infidèles, mais hésite à combattre les hommes partageant sa foi.\nAffinité de combat: §YEnnemis religieux§!;Dieser Charakter kämpft am besten gegen Heiden und Ungläubige, zögert aber im Kampf gegen jene mit demselben Glauben.\nKampfaffinität: §YReligiöse Feinde§!;;Este personaje es el mejor contra herejes e infieles, pero duda en la batalla contra los creyentes de su misma fe.\nAfinidad de combate: §YEnemigos religiosos§!;;;;;;;;;x

unyielding_leader_desc;This character will stubbornly fight to his last breath, compelling his men to do the same while refusing to yield an inch.;Ce personnage se battra de toutes ses forces jusqu'à son dernier souffle, contraignant ses hommes à agir de même et se montrant totalement inflexible.;Dieser Charakter wird hartnäckig bis zum letzten Atemzug kämpfen und seine Männer dazu zwingen, das Gleiche zu tun und keinen Zoll nachzugeben.;;Este personaje lucha con tesón hasta el último aliento, arrastrando a sus hombres con él sin permitir que se ceda ni un milímetro.;;;;;;;;;;x

siege_leader_desc;This character is skilled at leading sieges.;Ce personnage est particulièrement doué pour mener à bien les sièges;Dieser Charakter ist geübt, Belagerungen zu führen;;Este personaje está especializado en liderar asedios;;;;;;;;;x

narrow_flank_leader_desc;This character has mastered the craft of finding the perfect terrain for defensive battles.;Ce personnage maîtrise l'art de trouver une position parfaite lors des manoeuvres de batailles défensives.;Dieser Charakter ist ein Meister im Geländekampf und kann oft das geeignete Terrain für eine defensive Schlacht finden.;;Este personaje se ha especializado en el arte de encontrar el terreno perfecto para las batallas defensivas.;;;;;;;;;x

winter_soldier_desc;This character has mastered the art of fighting during winter and knows how to turn the fierce elements into an advantage.\nCombat Affinity: §YWinter§!, §YArctic§!;Ce personnage a maîtrisé l'art du combat hivernal et sait comment utiliser la nature hostile à son avantage.\nAffinité du combat: §YHiver§!, §YArctique§!;Dieser Charakter ist ein Meister der Kriegsführung im Winter und weiß, wie man die unbarmherzigen Elemente zu seinem Vorteil einsetzen kann.\nKampfaffinität: §YWinter§!, §YArktis§!;; Este personaje ha dominado el arte de la lucha durante el invierno y sabe cómo sacar partido de la fuerza de los elementos.\nAfinidad de combate: §YInvierno§!, §YÁrtico§!;;;;;;;;;x

experimenter_desc;This character favors a direct approach and prefers leaving advanced manoeuvres to others.\nCombat Affinity: §YCenter Flank§!;Ce personnage favorise une approche directe et préfère laisser les manoeuvres avancées aux autres.\nAffinité de combat: §YFlanc central§!;Diese Person zieht einen geradlinigen Ansatz vor und überlässt die komplizierteren Manöver lieber anderen.\nKampfaffinität: §YMittlere Flanke§!;;Este carácter favorece un enfoque directo y prefiere dejar las maniobras avanzadas maniobras a los demás.\nAfinidad de combate: §YFlanco central§!;;;;;;;;;x

master_of_flame_desc;This character is well-versed in the Way of the Dragon, focusing on perfecting their authority over the troops, as well as embodying the centralized, decisive command over a battlefield, unfettered by overbearing advisors or delegation of command to others.;Ce personnage est versé dans la Voie du Dragon, se concentrant sur le perfectionnement de son autorité sur les troupes, ainsi que sur l'incarnation d'un commandement centralisé et résolu sur le champ de bataille, sans entraves ni aucun pouvoir de commandement.;Dieser Charakter ist mit dem Weg des Drachen sehr vertraut und konzentriert sich darauf, seine Autorität über die Truppen zu perfektionieren und dabei die zentrale, entscheidende Führung auf dem Schlachtfeld zu verkörpern, frei von anmaßenden Beratern oder der Delegation des Kommandos auf andere.;;Este personaje está muy versado en el Camino del Dragón, centrándose en mejorar su autoridad sobre las tropas, así como encarnando el mando central y decisivo sobre el campo de batalla, libre de las trabas de consejeros arrogantes y la delegación del mando a otros.;;;;;;;;;x

logistics_expert_desc;This character is well-versed in the Way of the Dog, focusing on the training, supply, and management of forces made up of various types, and how to use them in a determined, concentrated attack when the enemy is weakest.;Ce personnage est versé dans la Voie du Chien, se concentrant sur la formation, l'approvisionnement et la gestion de troupes de différents types et sur la façon de les utiliser dans une attaque lancée lorsque l'ennemi est le plus faible.;Dieser Charakter ist mit dem Weg des Hundes sehr vertraut und konzentriert sich auf die Ausbildung, die Versorgung und das Management der Truppen, die sich aus verschiedenen Typen zusammensetzen, und wie man sie für einen entschlossenen, konzentrierten Angriff nutzt, wenn der Feind am schwächsten ist.;;Este personaje está muy versado en el Camino del Perro, centrándose en el entrenamiento, abastecimiento y gestión de fuerzas compuestas de tipos diferentes, y cómo usarlas en un ataque decidido y concentrado cuando el enemigo esté más débil.;;;;;;;;;x

levy_coordinator_desc;This character is well-versed in the Way of the Tiger, focusing on speed, maneuvrability, misdirection, and when and how best to commit troops of various types in a decisive engagement to defeat the enemy.\nCombat Affinity: §YSide Flanks§!;Ce personnage est versé dans la Voie du Tigre, se concentrant sur la vitesse, la manoeuvrabilité, la mauvaise direction, et sur quand et comment engager des troupes de divers types dans un engagement décisif pour vaincre l'ennemi.\nAffinité de combat: §YFlancs latéraux§!;Dieser Charakter ist mit dem Weg des Tigers sehr vertraut und konzentriert sich auf Geschwindigkeit, Manövrierfähigkeit, Irreführung und wann und wie man am besten Truppen verschiedener Typen in einer entscheidenden Schlacht einsetzt, um den Feind zu besiegen.\nKampfaffinität: §YSeitenflanken§!;;Este personaje está muy versado en el Camino del Tigre, centrándose en la velocidad, maniobrabilidad, engaño y cuándo y cómo destinar tropas de tipos diferentes en un enfrentamiento decisivo para derrotar al enemigo.\nAfinidad de combate: §YFlancos laterales§!;;;;;;;;;x

sapper_desc;This character is well-versed in the Way of the Leopard, focusing on how best to use the terrain to one's advantage, and how to use novel siege weapons to defeat a fortified enemy.\nCombat Affinity: §YForests§!, §YHills§!;Ce personnage est versé dans la Voie du Léopard, se concentrant sur la meilleure façon d'utiliser le terrain à son avantage et de nouvelles armes de siège pour vaincre un ennemi fortifié.\nAffinité de combat: §YForêts§!, §YCollines§!;Dieser Charakter ist mit dem Weg des Leoparden sehr vertraut und konzentriert sich darauf, wie man das Gelände am besten nutzt und wie man neuartige Belagerungswaffen einsetzten kann, um einen befestigten Feind zu besiegen.\nKampfaffinität: §YWälder§!, §YHügel§!;;Este personaje está muy versado en el Camino del Leopardo, centrándose en cómo aprovechar el terreno en su propio beneficio y usar nuevas armas de asedio para vencer a un enemigo fortificado.\nAfinidad de combate: §YBosques§!, §YColinas§!;;;;;;;;;x

norse_leader_desc;This character has a scary reputation, attracting the mightiest of warriors to [GetHerHis] side.\nCombat Affinity: §YHeavy Foot Troops§!;Ce personnage est connu et craint, ce qui attire les plus puissants guerriers à ses côtés.\nAffinité de combat: §YInfanterie lourde§!;Dieser Charakter hat einen schaurigen Ruf und zieht die Mächtigsten Krieger an [GetHerHis]e Seite.\nKampfaffinität: §YSchwere Infanterie§!;;Este personaje tiene una reputación aterradora, atrayendo a los guerreros más poderosos a su lado.\nAfinidad de combate: §YInfantería pesada§!;;;;;;;;;x

tengri_leader_desc;This character possesses great ability as a rider, thundering across the steppes.\nCombat Affinity: §YMounted Troops§!, §YFarmlands§!, §YPlains§!, §YSteppe§!;Ce personnage chevauche aisément dans les steppes.\nAffinité de combat: §YCavalerie§!, §YTerres arables§!, §YPlaines§!, §YSteppe§!;Dieser Charakter ist ein guter Reiter, der über die Steppen donnert.\nKampfaffinität: §YKavallerie§!, §YAckerland§!, §YEbenen§!, §YSteppe§!;;Este personaje posee gran habilidad como jinete, atronando las estepas.\nAfinidad de combate: §YCaballería§!, §YTierras de cultivo§!, §YLlanura§!, §YEstepa§!;;;;;;;;;x

baltic_leader_desc;This character is used to defending ancient and sacred woodlands.\nCombat Affinity: §YForests§!, §YSide Flanks§!;Ce personnage défend les bois anciens et sacrés.\nAffinité de combat: §YForêts§!, §YFlancs latéraux§!;Dieser Charakter ist es gewöhnt, alte und heilige Wälder zu verteidigen.\nKampfaffinität: §YWälder§!, §YSeitenflanken§!;;Este personaje se ha acostumbrado a defender los bosques antiguos y sagrados.\nAfinidad de combate: §YBosques§!, §YFlancos lateralos§!;;;;;;;;;x

finnish_leader_desc;This character is used to a harsh environment and blistering winters.\nCombat Affinity: §YWinter§!, §YArctic§!;Ce personnage est habitué à un environnement difficile et à des hivers rigoureux.\nAffinité du combat: §YHiver§!, §YArctique§!;Dieser Charakter ist an eine raue Umgebung und harsche Winter gewöhnt.\nKampfaffinität: §YWinter§!, §YArktis§!;;Este personaje se ha acostumbrado a ambientes severos e inviernos congelantes.\nAfinidad de combate: §YInvierno§!, §YÁrtico§!;;;;;;;;;x

slavic_leader_desc;This character stands firmly on flat terrain, an inspiring figure for [GetHerHis] troops.\nCombat Affinity: §YPlains§!;Ce personnage est à l'aise en terrain plat, ce qui inspire ses troupes.\nAffinité de combat: §YPlaines§!;Dieser Charakter steht felsenfest auf flachem Gelände und ist so eine inspirierende Persönlichkeit für [GetHerHis]e Truppen.\nKampfaffinität: §YEbenen§!;;Este personaje permanece en pie en terreno lleno, una figura que inspira sus tropas.\nAfinidad de combate: §YLlanura§!;;;;;;;;;x

west_african_leader_desc;This character is accustomed to fighting in the desert and traveling light.\nCombat Affinity: §YDesert§!, §YMounted Troops§!, §YLight Foot Troops§!;Ce personnage a l'habitude de se battre dans le désert et de voyager léger.\nAffinité de combat: §YDésert§!, §YCavalerie§!, §YInfanterie légère§!;Dieser Charakter ist es gewohnt, in der Wüste zu kämpfen und mit leichtem Gepäck zu reisen.\nKampfaffinität: §YWüste§!, §YKavallerie§!, §YLeichte Infanterie§!;;Este personaje está acostumbrado a luchar en el desierto y viajar ligero.\nAfinidad de combate: §YDesierto§!, §YCaballería§!, §YInfantería ligera§!;;;;;;;;;x

zun_leader_desc;This character works well with siege weapons and is fast on [GetHerHis] feet, easily traversing both mountain and desert.\nCombat Affinity: §YDesert§!, §YMountains§!;Ce personnage maîtrise les armes de siège et est rapide, traversant facilement les montagnes et les déserts.\nAffinité de combat: §YDésert§!, §YMontagnes§!;Dieser Charakter weiß mit Belagerungswaffen umzugehen und ist schnell auf [GetHerHis]en Füßen, wodurch er leicht bergauf und durch die Wüste kommt.\nKampfaffinität: §YWüste§!, §YBerge§!;;Este personaje trabaja bien con las armas de asedio, es de movimiento rápido, recorriendo fácilmente montañas y desiertos.\nAfinidad de combate: §YDesierto§!, §YMontanãs§!;;;;;;;;;x

